four_words,majority,instructor,id,frequency,four_words_sentiment
nervous,nervous,expectant,1,65,negative
excited,nervous,expectant,1,61,positive
overwhelmed,overwhelmed,excited,3,2,negative
apprehensive,unsure,excited,5,2,negative
ready,unsure,excited,5,6,positive
chill,worried,excited,6,2,negative
worried,worried,excited,6,14,negative
fine,worried,excited,6,1,positive
stress,nervous,excited,7,1,negative
uncertain,unsure,curious,8,3,negative
thankful,nervous,excited,11,1,positive
happy,nervous,excited,11,3,positive
relaxed,nervous,excited,13,1,positive
confused,excited,expect,14,8,negative
unknown,excited,expect,14,4,negative
interesting,nervous,excited,15,3,positive
anxious,nervous,excited,16,12,negative
sad,nervous,happy,18,1,negative
tired,nervous,happy,18,2,negative
passionate,excited,passionate,20,2,positive
enthusiastic,excited,passionate,20,3,positive
unsure,unsure,excited,21,8,negative
cooperative,anticipation,ready,23,1,positive
important,anticipation,ready,23,1,positive
useful,anticipation,ready,23,4,positive
beneficial,nervous,excited,24,1,positive
keen,nervous,excited,24,1,positive
hopeful,excited,enthusiastic,25,8,positive
lost,nervous,motivated,26,2,negative
confident,curious,anticipating,32,1,positive
scared,anxious,determined,33,4,negative
uneasy,anxious,determined,33,2,negative
excitement,excited,eager,34,2,positive
motivated,excited,eager,34,6,positive
stressful,indifferent,excited,40,2,negative
overwhelming,indifferent,excited,40,1,negative
difficulty,curious,excited,41,1,negative
challenging,nervous,excited,49,5,negative
difficult,nervous,excited,49,1,negative
doubtful,eager,good,51,1,negative
optimistic,excited,excited,54,3,positive
hard,challenge,happy,57,2,negative
tedious,challenge,happy,57,1,negative
buzzing,nervous,good,60,1,negative
concerned,excited,excited,61,1,negative
dread,excited,excited,61,1,negative
afraid,nervous,excited,63,1,negative
strain,curious,conventional,64,1,negative
fun,nervous,stress,66,1,positive
stresses,curious,excited,68,1,negative
tough,nervous,excited,69,1,positive
exciting,nervous,enthusiastic,70,5,positive
thrilling,nervous,enthusiastic,70,1,positive
tiresome,chill,excited,71,1,negative
wary,wary,excited,76,1,negative
fear,curious,happy,79,1,negative
ambitious,nervous,helpful,83,2,positive
good,excitement,excite,95,2,positive
extraordinary,nervous,happy,98,2,positive
mysterious,anxious,exalted,102,1,negative
worrisome,anxious,exalted,102,1,negative
impressive,anxious,exalted,102,1,positive
worrying,worrying,excited,107,1,negative
eager,nervous,confident,110,1,positive
meaningful,unsure,prepared,111,1,positive
utterly,confident,breeze,112,1,negative
naive,equal,optimistic,118,1,negative
unprepared,equal,optimistic,118,2,negative
clueless,nervous,excited,119,1,negative
complicated,hard,enjoy,121,1,negative
hectic,anxious,eager,130,1,negative
